,price
0,149
1,225
2,150
3,89
4,80
5,200
6,60
7,79
8,79
9,150
10,135
11,85
12,89
13,85
14,120
15,140
16,215
17,140
18,99
19,190
20,299
21,130
22,80
23,110
24,120
25,60
26,80
27,150
28,44
29,180
30,50
31,52
32,55
33,50
34,70
35,89
36,35
37,85
38,150
39,40
40,68
41,120
42,120
43,135
44,150
45,150
46,130
47,110
48,115
49,80
50,80
51,151
52,228
53,144
54,200
55,150
56,110
57,69
58,49
59,180
60,80
61,375
62,250
63,200
64,55
65,52
66,225
67,80
68,275
69,99
70,225
71,230
72,51
73,65
74,105
75,190
76,200
77,70
78,95
79,150
80,145
81,110
82,285
83,130
84,94
85,800
86,105
87,60
88,50
89,85
90,65
91,131
92,98
93,250
94,100
95,105
96,140
97,89
98,98
99,125
100,60
101,175
102,65
103,500
104,101
105,220
106,125
107,80
108,100
109,200
110,59
111,125
112,140
113,120
114,350
115,199
116,325
117,235
118,225
119,99
120,170
121,400
122,170
123,100
124,75
125,90
126,150
127,85
128,70
129,120
130,89
131,185
132,50
133,105
134,130
135,115
136,77
137,76
138,125
139,135
140,250
141,199
142,140
143,140
144,115
145,160
146,195
147,195
148,80
149,44
150,156
151,85
152,125
153,115
154,69
155,225
156,125
157,219
158,475
159,99
160,69
161,79
162,135
163,250
164,250
165,250
166,80
167,70
168,165
169,70
170,50
171,40
172,150
173,125
174,196
175,110
176,170
177,165
178,150
179,100
180,65
181,350
182,99
183,200
184,150
185,90
186,120
187,75
188,175
189,125
190,275
191,299
192,135
193,130
194,83
195,123
196,55
197,195
198,80
199,98
200,140
201,265
202,249
203,105
204,200
205,100
206,121
207,45
208,100
209,140
210,71
211,130
212,199
213,69
214,68
215,130
216,195
217,64
218,140
219,159
220,189
221,250
222,239
223,305
224,155
225,60
226,135
227,120
228,150
229,140
230,135
231,250
232,250
233,500
234,225
235,125
236,92
237,175
238,99
239,195
240,140
241,135
242,500
243,80
244,120
245,110
246,65
247,130
248,99
249,36
250,37
251,37
252,175
253,205
254,285
255,59
256,36
257,99
258,39
259,60
260,90
261,105
262,135
263,390
264,70
265,75
266,60
267,200
268,100
269,70
270,110
271,60
272,90
273,68
274,115
275,75
276,60
277,129
278,130
279,95
280,75
281,175
282,190
283,49
284,212
285,95
286,140
287,135
288,150
289,190
290,124
291,135
292,122
293,109
294,85
295,145
296,195
297,250
298,125
299,575
300,150
301,70
302,90
303,65
304,500
305,250
306,125
307,200
308,229
309,90
310,110
311,59
312,195
313,169
314,113
315,250
316,115
317,55
318,69
319,150
320,169
321,179
322,150
323,135
324,350
325,120
326,71
327,349
328,349
329,165
330,249
331,100
332,200
333,169
334,185
335,65
336,130
337,199
338,225
339,179
340,150
341,139
342,95
343,79
344,150
345,650
346,90
347,120
348,80
349,100
350,175
351,120
352,140
353,200
